Date,Open,High,Low,Close,Adj Close,Volume
2019-05-13,69.980003,69.980003,69.980003,69.980003,65.629303,0
2019-05-14,70.610001,70.610001,70.610001,70.610001,66.220146,0
2019-05-15,71.019997,71.019997,71.019997,71.019997,66.604637,0
2019-05-16,71.660004,71.660004,71.660004,71.660004,67.204857,0
2019-05-17,71.180000,71.180000,71.180000,71.180000,66.754700,0
2019-05-20,70.690002,70.690002,70.690002,70.690002,66.295158,0
2019-05-21,71.339996,71.339996,71.339996,71.339996,66.904724,0
2019-05-22,71.099998,71.099998,71.099998,71.099998,66.679665,0
2019-05-23,70.190002,70.190002,70.190002,70.190002,65.826248,0
2019-05-24,70.349998,70.349998,70.349998,70.349998,65.976295,0
2019-05-28,69.769997,69.769997,69.769997,69.769997,65.432350,0
2019-05-29,69.279999,69.279999,69.279999,69.279999,64.972816,0
2019-05-30,69.400002,69.400002,69.400002,69.400002,65.085358,0
2019-05-31,68.519997,68.519997,68.519997,68.519997,64.260063,0
2019-06-03,68.360001,68.360001,68.360001,68.360001,64.110023,0
2019-06-04,69.870003,69.870003,69.870003,69.870003,65.526138,0
2019-06-05,70.400002,70.400002,70.400002,70.400002,66.023193,0
2019-06-06,70.779999,70.779999,70.779999,70.779999,66.379555,0
2019-06-07,71.489998,71.489998,71.489998,71.489998,67.045425,0
2019-06-10,71.839996,71.839996,71.839996,71.839996,67.373657,0
2019-06-11,71.779999,71.779999,71.779999,71.779999,67.317383,0
2019-06-12,71.660004,71.660004,71.660004,71.660004,67.204857,0
2019-06-13,72.019997,72.019997,72.019997,72.019997,67.542450,0
2019-06-14,71.580002,71.580002,71.580002,71.580002,67.377754,0
2019-06-17,71.690002,71.690002,71.690002,71.690002,67.481308,0
2019-06-18,72.410004,72.410004,72.410004,72.410004,68.159027,0
2019-06-19,72.639999,72.639999,72.639999,72.639999,68.375519,0
2019-06-20,73.290001,73.290001,73.290001,73.290001,68.987343,0
2019-06-21,73.129997,73.129997,73.129997,73.129997,68.836761,0
2019-06-24,72.900002,72.900002,72.900002,72.900002,68.620262,0
2019-06-25,72.220001,72.220001,72.220001,72.220001,67.980164,0
2019-06-26,72.120003,72.120003,72.120003,72.120003,67.886055,0
2019-06-27,72.540001,72.540001,72.540001,72.540001,68.281380,0
2019-06-28,73.040001,73.040001,73.040001,73.040001,68.752029,0
2019-07-01,73.570000,73.570000,73.570000,73.570000,69.250916,0
2019-07-02,73.720001,73.720001,73.720001,73.720001,69.392105,0
2019-07-03,74.320000,74.320000,74.320000,74.320000,69.956886,0
2019-07-05,74.230003,74.230003,74.230003,74.230003,69.872162,0
2019-07-08,73.830002,73.830002,73.830002,73.830002,69.495659,0
2019-07-09,73.970001,73.970001,73.970001,73.970001,69.627426,0
2019-07-10,74.269997,74.269997,74.269997,74.269997,69.909836,0
2019-07-11,74.389999,74.389999,74.389999,74.389999,70.022789,0
2019-07-12,74.769997,74.769997,74.769997,74.769997,70.380463,0
2019-07-15,74.750000,74.750000,74.750000,74.750000,70.361649,0
2019-07-16,74.519997,74.519997,74.519997,74.519997,70.145142,0
